1 34 0
2 31 0
3 34 0
4 37 0
5 42 0
6 46 0
7 53 0
8 57 0
9 65 0
10 73 0
11 80 0
12 91 0
13 99 0
14 110 0
15 121 0
16 133 0
17 147 0
18 159 0
19 180 0
20 193 0
21 205 0
22 223 0
23 244 0
24 259 0
25 296 0
26 339 0
27 327 0
28 344 0
29 383 0
30 390 0
31 449 0
32 474 0
33 501 0
34 520 0
35 555 0
36 628 0
37 661 0
38 673 0
39 720 0
40 730 0
41 813 0
42 872 0
43 885 0
44 894 0
45 914 0
46 1018 0
47 1043 0
48 1075 0
49 1129 0
50 1222 0
51 1279 0
52 1330 0
53 1340 0
54 1414 0
55 1419 0
56 1503 0
57 1575 0
58 1706 0
59 1769 0
60 1831 0
61 1854 0
62 2033 0
63 1964 0
64 2611 0
65 2696 0
66 2186 0
67 2769 0
68 2997 0
69 2530 0
70 2712 0
71 2923 0
72 6506 0
73 4745 0
74 3830 0
75 3230 0
76 3300 0
77 14905 0
78 118351 0
79 338589 0
